Combination,Mean Error,Mean Squared Error
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4297526341263113,1.0353073746076586
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.43306191549822187,1.0446289100081485
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7748346967433536,1.8411887485209129
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) ,0.7804456634544426,1.8494675870162633
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Cites(2 yrs) Ref ,0.43368720437006486,1.0552045683633038
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Cites(2 yrs) ,0.4387547576925275,1.0725250197055118
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Ref ,0.7847090141182927,1.876542693670919
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) ,0.7900040782691244,1.8917543569546948
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4288107087192039,1.0447069291566713
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) ,0.43315645184133095,1.0607683659038896
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Ref ,0.8146479524155755,1.7232936531585459
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) ,0.8218187241411296,1.7408789967995795
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Cites(2 yrs) Ref ,0.43308781337739266,1.0584111775096325
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Cites(2 yrs) ,0.4382400330552756,1.080238578337911
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. Ref ,0.822860262867528,1.7744191844442012
SJR H index Total Docs(2017) Total Docs(3yrs) Total Refs. ,0.8287717454915399,1.7888943023393857
SJR H index Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4296657037372466,1.0353560856642545
SJR H index Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.43382862525208643,1.0466318254071427
SJR H index Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7725010040922765,1.7979967319854482
SJR H index Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) ,0.779257874524944,1.8302891595154933
SJR H index Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Cites(2 yrs) Ref ,0.43354092319122933,1.0554791812879514
SJR H index Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Cites(2 yrs) ,0.4401091650435767,1.0786863127075974
SJR H index Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Ref ,0.7839843749592772,1.82256308290179
SJR H index Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) ,0.7892815756040052,1.840098770080933
SJR H index Total Docs(2017) Total Docs(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.42880758936613855,1.0446909002336053
SJR H index Total Docs(2017) Total Docs(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.43382981053628045,1.0609536723205821
SJR H index Total Docs(2017) Total Docs(3yrs) Citable Docs(3 yrs) Ref ,0.814786914227463,1.7243228610077344
SJR H index Total Docs(2017) Total Docs(3yrs) Citable Docs(3 yrs) ,0.8236278664458487,1.7605085925074042
SJR H index Total Docs(2017) Total Docs(3yrs) Cites(2 yrs) Ref ,0.4330597897886429,1.0583158992413801
SJR H index Total Docs(2017) Total Docs(3yrs) Cites(2 yrs) ,0.4397282679339542,1.0834837740953902
SJR H index Total Docs(2017) Total Docs(3yrs) Ref ,0.8230999470288212,1.7646095188485824
SJR H index Total Docs(2017) Total Docs(3yrs) ,0.8286064458273649,1.7849751839103094
SJR H index Total Docs(2017) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.43432771702039413,1.0533030914999693
SJR H index Total Docs(2017) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.4394756558805869,1.0693679431989065
SJR H index Total Docs(2017) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7818172436717703,1.8734462467798854
SJR H index Total Docs(2017) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) ,0.7871947958497155,1.88699065785395
SJR H index Total Docs(2017) Total Refs. Total cites(3yrs) Cites(2 yrs) Ref ,0.434758895651676,1.0506915753669406
SJR H index Total Docs(2017) Total Refs. Total cites(3yrs) Cites(2 yrs) ,0.43955534520740563,1.068815540880831
SJR H index Total Docs(2017) Total Refs. Total cites(3yrs) Ref ,0.788639203048287,1.8320599968107167
SJR H index Total Docs(2017) Total Refs. Total cites(3yrs) ,0.794222859574106,1.8560365472165654
SJR H index Total Docs(2017) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4335609187786168,1.05835309410157
SJR H index Total Docs(2017) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) ,0.43906529747180545,1.0802402475163124
SJR H index Total Docs(2017) Total Refs. Citable Docs(3 yrs) Ref ,0.822598807696654,1.7687858816562791
SJR H index Total Docs(2017) Total Refs. Citable Docs(3 yrs) ,0.8287460147289769,1.782474055634177
SJR H index Total Docs(2017) Total Refs. Cites(2 yrs) Ref ,0.43399290708831084,1.0538247537349066
SJR H index Total Docs(2017) Total Refs. Cites(2 yrs) ,0.4407119020524442,1.0747909142353558
SJR H index Total Docs(2017) Total Refs. Ref ,0.8146779855229643,1.7777711631005821
SJR H index Total Docs(2017) Total Refs. ,0.8193306304873241,1.7983107593088783
SJR H index Total Docs(2017) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.43420395285772084,1.0535088633215055
SJR H index Total Docs(2017) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.44081032961023014,1.0745508186895982
SJR H index Total Docs(2017) Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7811149288828444,1.823244213243022
SJR H index Total Docs(2017) Total cites(3yrs) Citable Docs(3 yrs) ,0.7865367664065052,1.843948269939087
SJR H index Total Docs(2017) Total cites(3yrs) Cites(2 yrs) Ref ,0.4346188219829871,1.051019792238879
SJR H index Total Docs(2017) Total cites(3yrs) Cites(2 yrs) ,0.4406120856879478,1.076100936009053
SJR H index Total Docs(2017) Total cites(3yrs) Ref ,0.7867874137624236,1.7603655416568633
SJR H index Total Docs(2017) Total cites(3yrs) ,0.7916155843947181,1.781253883149422
SJR H index Total Docs(2017) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4335265405722268,1.0582415272930523
SJR H index Total Docs(2017) Citable Docs(3 yrs) Cites(2 yrs) ,0.44042106238965656,1.0826846757598678
SJR H index Total Docs(2017) Citable Docs(3 yrs) Ref ,0.8226127566962163,1.7629424809047003
SJR H index Total Docs(2017) Citable Docs(3 yrs) ,0.8288455948896201,1.784647469315781
SJR H index Total Docs(2017) Cites(2 yrs) Ref ,0.43403684441585483,1.0537593794457527
SJR H index Total Docs(2017) Cites(2 yrs) ,0.44122920531144155,1.0794405087230319
SJR H index Total Docs(2017) Ref ,0.8118516544276191,1.7502863851419552
SJR H index Total Docs(2017) ,0.8172366404969238,1.7716882894417545
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.42933868160770383,1.0379605626936266
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.43300554281832454,1.0541186053384544
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7697843566073678,1.801659212563093
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) ,0.7764388287287642,1.8131513093656255
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Cites(2 yrs) Ref ,0.43340949916495974,1.0577999458941343
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Cites(2 yrs) ,0.4388617673827881,1.084438411015922
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Ref ,0.7827347878473302,1.8349039177226447
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) ,0.786472217559176,1.8416953376857617
SJR H index Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4285290048831279,1.0463102831148896
SJR H index Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) ,0.43309530825218306,1.068872633822045
SJR H index Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Ref ,0.8096278445526283,1.695060029260215
SJR H index Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) ,0.8161886486109053,1.708151619078215
SJR H index Total Docs(3yrs) Total Refs. Cites(2 yrs) Ref ,0.4329975406503344,1.0602739333250115
SJR H index Total Docs(3yrs) Total Refs. Cites(2 yrs) ,0.4384468239610695,1.0905600506575523
SJR H index Total Docs(3yrs) Total Refs. Ref ,0.8247365294572493,1.7443929506240143
SJR H index Total Docs(3yrs) Total Refs. ,0.8252024751590196,1.7459684855122906
SJR H index Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.42936202733748013,1.03931717037827
SJR H index Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.4333924355691008,1.0524040774521781
SJR H index Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7703900657880105,1.8287696061898222
SJR H index Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) ,0.7781589939465378,1.8581155308562614
SJR H index Total Docs(3yrs) Total cites(3yrs) Cites(2 yrs) Ref ,0.4334169965097952,1.05845161368463
